year,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1997,0.06304141028007822,0.07741313940920969,0.07902533463859882,0.0737770168653675,0.06851856860146677,0.059635575497346036,0.08104320174881213,0.023298681326692675,0.006650667124468364,0.014001604416459769,0.07043160322341359,0.03881153786908566,0.07521138580318465,0.0014849309403546559,0.06600882998892972,0.035454636974319116,0.03882709540832797,0.08634452369643876,0.027528613435219538,0.013491642752226378
1998,0.07724078653779524,0.05018312308240276,0.004833931884439409,0.06945747942265794,0.06401889165557902,0.02759965441304595,0.043148318174485834,0.0525229909523977,0.05993507913771446,0.06434871130592491,0.01988248911550682,0.046801238582349594,0.07236003789004368,0.06413395254365016,0.05932953381742999,0.008460816026696067,0.07343366998548195,0.031500889639789885,0.04489436512951627,0.06591404070309237
1999,0.0499396225353968,0.057053377792888264,0.07185857188730509,0.08595633478358145,0.054155712429076415,0.01325831939372099,0.012645438823903418,0.09111774223668098,0.06222931697928294,0.029647283693498568,0.014329893181380471,0.0466503552678524,0.04361388354250065,0.02222571990348287,0.0620609753416302,0.06129381305793245,0.08020327818917995,0.021094037582648054,0.04172428640461045,0.0789420369734476
2000,0.09206211580796082,0.037578308138287435,0.032137705944729734,0.008163402831920626,0.08576257114445211,0.04860358610230884,0.09010957390414598,0.021849492803019926,0.08772931044446448,0.03253743263485477,0.04278495323957586,0.06719527638631075,0.07611903976810654,0.016693238460066425,0.052227921399215387,0.026254284964137578,0.055516918197202635,0.09551538247885338,0.022300610068113506,0.008858875282273231
2001,0.06249342300181421,0.05361612340102467,0.055578506247566065,0.05598814518033231,0.03583515699891681,0.056798502406164936,0.004637706375644348,0.02586701315589102,0.013284016668807358,0.003328266988904382,0.06272993836943179,0.04771563337370778,0.06824668300222629,0.050017711022271365,0.07189261949690276,0.05927054587131085,0.05796410634570889,0.062469660943852624,0.07862312373487763,0.07364311741464388
2002,0.04944659022535245,0.08702940780424115,0.09361806075192482,0.005938491275497246,0.057631724054469126,0.05882168077711738,0.055216229092130135,0.06865560244834927,0.037864167239095865,0.051520758299655176,0.06806563106696825,0.010423253863684012,0.01830551867198699,0.07682454349126698,0.01657938896947404,0.06262389612071978,0.03542875088847261,0.02067158302382385,0.041444584024367584,0.0838901379114033
2003,0.1353443989160281,0.03197583847549831,0.0032687468432555716,0.032960938279680566,0.06024462515149114,0.11186466603001882,0.0418336442942356,0.022689016839688006,0.010325224884771134,0.002007280265601795,0.011278748191774785,0.045060096012829905,0.07945544737305994,0.12619706428380956,0.011942578864112282,0.10843267738712888,0.013204479980718059,0.0056452403717393825,0.035435492764998876,0.1108337947895593
2004,0.09352650228082754,0.0033659611168261687,0.060145162463501566,0.0008315928385132538,0.10017820588754844,0.10346810478298367,0.01127663996176107,0.07336814322973492,0.0660970312873427,0.09077184450886873,0.07173997526938704,0.011168989058262415,0.005021249623325748,0.06010401404865073,0.024273304446314828,0.04755956648690213,0.03316510281908206,0.09281866641728233,0.019902220559660008,0.031217722913224645
2005,0.02480468082982407,0.10541992089157663,0.05549323672893587,0.008400125396571034,0.06910515710911866,0.0726249302744276,0.05881324667659681,0.042414711504697555,0.06906181122737148,0.0628946554965643,0.02013284855999727,0.09885575628931231,0.020974481097255023,0.02074242738689133,0.061234267415193125,0.05964382382482309,0.03293279987250181,0.023492373313998442,0.07949185929313812,0.01346688681120548
2006,0.08097740282769342,0.07322445805023682,0.05482751851620988,0.018911234764422455,0.09276228079886945,0.06887536992880063,0.00400774419952571,0.004691083285498047,0.03488657687587976,0.09290815904077614,0.0182255698136238,0.05659201260804805,0.08387543040128612,0.04463213656733983,0.000836660095323244,0.05753203413625288,0.055939374937783115,0.004463706740077163,0.060680231730564374,0.09115101468178913
2007,0.04004404226485306,0.08223553606346787,0.02832840678385196,0.04944261274192099,0.06741524907137102,0.08475235956376713,0.051309219474679035,0.0740895105039199,0.01039850770672858,0.05064841378970868,0.06983982497568841,0.05787291734596321,0.060542660077243765,0.011623674071976783,0.009564368121138742,0.02260075641120792,0.017828970476762667,0.07282618587766576,0.09341132754688744,0.04522545713119707
2008,0.078191276766629,0.09170807576981144,0.08450606086113473,0.03891889200816472,0.07658786324229229,0.009909993308030343,0.08120376277837305,0.0082503968296019,0.023023714604988848,0.02214688063641491,0.04423737837939969,0.0290478868711233,0.04100425930772603,0.05010569793124766,0.08197722810899173,0.047231270032672086,0.004060767963000026,0.09664067921792528,0.013989955447517223,0.07725795993495574
2009,0.0782348992257887,0.01892562583065004,0.0531533942419326,0.05254024234107345,0.05925287436467242,0.07736896669385707,0.00741589880725318,0.04966371526450792,0.07881636528637027,0.04110642011611316,0.001257813119208839,0.040220452247849994,0.02644955658358504,0.07862271978896347,0.05804978330945274,0.08013490224432837,0.013566658799634456,0.062368678079100216,0.06884529913639757,0.05400573451926049
2010,0.0314130868646842,0.01998623526442464,0.030351182074677668,0.05648938347515014,0.06775903621877052,0.08367024606239529,0.07885045043288272,0.04126700910017168,0.05971786140791162,0.07109254146162608,0.03580233894451146,0.055388905951550424,0.05547315017015194,0.049152011379897206,0.015636838825072823,0.05948240523145479,0.015172169952319483,0.072112794541522,0.06883419771322703,0.032348154927598294
2011,0.07266916411143846,0.059503672874758044,0.02814840885452234,0.06724202451117972,0.035632613466890596,0.12079900722568006,0.015256701001529385,0.0014936140557312405,0.04087064366736157,0.057993048978834255,0.010668796899006076,0.02967078955175569,0.01757304100422094,0.08117145768827266,0.011338559356587787,0.0805445950482354,0.06669270673084379,0.0967811128737975,0.06247389114602798,0.0434761509533265
2012,0.008986398824905662,0.1073331021829762,0.04233275294245145,0.008996001510365241,0.02111756282013953,0.10193639295469259,0.03268285427936247,0.08838574627670161,0.0032650273739410324,0.034090333605295106,0.08809823730133444,0.023156190079671422,0.07979602981542382,0.023676792812801477,0.04588494633870752,0.0970725184517316,0.09481965985230384,0.04071321431261977,0.0064067059668000866,0.05124953229777516
2013,0.06372032082668526,0.05153304569697841,0.06273598643534221,0.07999009181192376,0.0551036432044429,0.04317037192388555,0.051688486418668,0.07697946996751863,0.04735930484093171,0.08970680433885263,0.08117257143788781,0.05128089453819469,0.022745664889813094,0.031577903036114865,0.0033437355721737763,0.003305940688711706,0.05977131131200862,0.054714856131182335,0.009874654380612262,0.06022494254807176
