code,title,sense,original
11-1011,chief operating officer,,chief_operating_officer
11-1011,chief financial officer,,chief_financial_officer
11-1011,university president,,university_president
11-1011,superintendent,,superintendent
11-1011,commissioner,,commissioner
11-1011,school superintendent,,school_superintendent
11-1011,chief executive officer,,chief_executive_officer
11-1011,governor,,governor
11-1011,government service executive,,government_service_executive
11-1011,officer,,officer
11-1011,admiral,,admiral
11-1011,president,,president
11-1011,chief sustainability officer,,chief_sustainability_officer
11-1011,commissioner of internal revenue,,commissioner_of_internal_revenue
11-1011,mayor,,mayor
11-1011,ceo,,ceo
11-1011,county commissioner,,county_commissioner
11-1021,manufacturing operation manager,,manufacturing_operations_manager
11-1021,general and operation manager,,general_and_operations_managers
11-1021,department store manager,,department_store_manager
11-1021,general manager,,general_manager
11-1021,department store general manager,,department_store_general_manager
11-1021,general superintendent,,general_superintendent
11-1021,radio station manager,,radio_station_manager
11-1021,television store manager,,television_store_manager
11-1021,operational risk manager,,operational_risk_manager
11-1021,superintendent,,superintendent
11-1021,operation manager,,operations_manager
11-1031,tribal council member,,tribal_council_member
11-1031,city alderman,,city_alderman
11-1031,representative,,representative
11-1031,senator,,senator
11-1031,councilor,,councilor
11-1031,legislator,,legislators
11-1031,city council member,,city_council_member
11-1031,member of congres,,member_of_congress
11-1031,alderman,,alderman
11-1031,legislator,,legislator
11-2011,director,,director
11-2011,promotion director,,promotions_director
11-2011,advertising and promotion manager,,advertising_and_promotions_managers
11-2011,classified advertising manager,,classified_advertising_manager
11-2011,advertising executive,,advertising_executive
11-2011,advertising director,,advertising_director
11-2011,promotion manager,,promotions_manager
11-2021,administrator,,administrator
11-2021,director,,director
11-2021,internet marketing manager,,internet_marketing_manager
11-2021,marketing manager,,marketing_managers
11-2021,marketing administrator,,marketing_administrator
11-2022,territory sale manager,,territory_sales_manager
11-2022,sale director,,sales_director
11-2022,export manager,,export_manager
11-2022,regional sale manager,,regional_sales_manager
11-2022,district sale manager,,district_sales_manager
11-2022,director,,director
11-2022,sale manager,,sales_managers
11-2022,sale account manager,,sales_account_manager
11-2022,e - commerce director,,e-commerce_director
11-2032,public information director,,public_information_director
11-2032,director,,director
11-2032,public relation manager,,public_relations_manager
11-2032,public relation manager,,public_relations_managers
11-2032,communication manager,,communication_manager
11-2032,publicity director,,publicity_director
11-2032,public information relation manager,,public_information_relations_manager
11-2033,director,,director
11-2033,funding coordinator,,funding_coordinator
11-2033,donor relation manager,,donor_relations_manager
11-2033,fundraising manager,,fundraising_managers
11-2033,foundation director,,foundation_director
11-2033,coordinator,,coordinator
11-3012,university registrar,,university_registrar
11-3012,director,,director
11-3012,record and information manager,,records_and_information_manager
