year,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20
1997,0.04806143267067387,0.07730067981552129,0.04016050325870986,0.006401253306507497,0.02969019870103364,0.06106239023685847,0.06804044204546462,0.0753823206015484,0.06010482405225553,0.0525410999184415,0.04899641094190792,0.05059934607990797,0.04647947202365923,0.06035006425454642,0.033767317064119826,0.06876244856207764,0.04470228726824196,0.036174543260291014,0.07353898552840793,0.01788398040982542
1998,0.08470572958424288,0.08401317815196979,0.06266311602892582,0.038456279247755354,0.05448825466217951,0.04704824545439342,0.04353039897455169,0.024139942608735,0.0629661072805453,0.06828025903784538,0.07742016721575633,0.005328907824749073,0.04186296335281462,0.012638079901154023,0.056753802884516064,0.03839036881314982,0.06603340183427756,0.03943116343721933,0.050446075918983285,0.04140355778623574
1999,0.04550578541663688,0.07770087839792185,0.09087299797969578,0.017846203928650377,0.05278855872134649,0.05886156901862925,0.021493089503766213,0.03138235219720457,0.03380407778116267,0.09705818630130357,0.02400939655921405,0.07553320304552338,0.038464964713412646,0.011650017761520519,0.03383267217952003,0.07012116326411656,0.08651565158385473,0.05456691034226395,0.00854862532429897,0.06944369597995753
2000,0.07419323573782374,0.08281396172031048,0.08384533050154652,0.011012153085046312,0.008108728814273554,0.01253128871583525,0.07195667197626693,0.008445846291286356,0.0381764472874685,0.04788648411755286,0.041033517905152,0.09778724516025722,0.025871659376501228,0.08909172123755826,0.03723883930452664,0.06123212223879716,0.021743023775210066,0.01411784784202675,0.07063980683168568,0.10227406808087448
2001,0.051384327827694184,0.08591449903076245,0.014360840722541448,0.021910143530382738,0.007805916683716462,0.0576843718681837,0.06079061348055109,0.06089204531662338,0.04043835891958623,0.06246033755127943,0.06941145260792521,0.0230163574007095,0.04574575806859913,0.018947813753810196,0.04719267887547638,0.0703841579076953,0.08445544108110732,0.07208595871290803,0.058707359616605,0.046411567043842826
2002,0.039649286819510146,0.027031084467660792,0.08102330865932986,0.0697877944716357,0.06637756172623627,0.06760330070951266,0.08310629724468889,0.04180648507191514,0.07772311093748134,0.008588702729721568,0.03434201614870594,0.08057890364173279,0.027958278813395954,0.07420028421449494,0.06613531407748854,0.07222477169865076,0.0068938221731661255,0.026768365186624517,0.023832391922576288,0.024368919285471795
2003,0.09207921085401609,0.014624165176336286,0.0590160955681146,0.0746070416012024,0.03232543877926882,0.004386558289775527,0.08630123864476877,0.08505005238786971,0.021839964686329483,0.04624550308648986,0.09397327181749864,0.03484657414932666,0.03972392925810679,0.06979091265495403,0.07548395825165731,0.013358166138179549,0.08483477330025804,0.012098092212525885,0.018897158809802903,0.040517894333518656
2004,0.06564567602497358,0.09978717156800758,0.05808201503301734,0.025262927773360224,0.023923373191333402,0.05296384488600926,0.06455902934803343,0.02294281923728977,0.05028580736562124,0.023652247343931176,0.023703686239881006,0.08226365434776552,0.07518223300533892,0.05730400173177616,0.051439967593495554,0.07538263037081014,0.026715004940277298,0.017225600281199297,0.010161325237422653,0.09351698448045644
2005,0.009106836405819286,0.05193527748046186,0.06692298952982892,0.006724987094163771,0.022371444915499163,0.08892968262605365,0.05941368636525809,0.05907185610839707,0.06266555845895345,0.05523000292997363,0.003301701577202812,0.04295999091110221,0.08920075501633411,0.055391450456537726,0.05193527748046186,0.0820601900297183,0.061315179455901904,0.04599859281538575,0.013216772205512735,0.07224776813743371
2006,0.0063330195212853305,0.026482608930689697,0.030237133791029734,0.09912618814239248,0.026795740995923162,0.07654294040189022,0.033558169635981426,0.045758080490240376,0.04642718353516922,0.021346019091876212,0.05841799968788791,0.04524401351669749,0.05667894375556523,0.10193621693626284,0.09201696829002354,0.029886262682103634,0.040874444241582916,0.06435220931501595,0.05403211082631166,0.04395374621207099
